MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LandContour,LotConfig,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MoSold,YrSold,SalePrice
2-STORY 1945-,C,50,8500,Pave,Lvl,Inside,0,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,None,0,3,2,BrkTil,3,3,0,1,0,1,0,649,649,GasA,3,0,5,649,668,1317,Detchd,1920,1,1,250,3,0,0,54,172,0,0,0,0,3,,July,2008,40000
1-STORY 1946+,RL,,8544,,Lvl,CulDSac,0,1Fam,1Story,5,6,1966,2006,Gable,CompShg,None,0,3,3,CBlock,3,3,0,1,0,1,0,1228,1228,GasA,4,1,5,1228,0,1228,Attchd,1966,1,1,271,3,2,0,65,0,0,0,0,0,3,,June,2008,149350
1-STORY 1946+,RL,85,11049,,Lvl,Corner,0,1Fam,1Story,8,5,2007,2007,Gable,CompShg,None,0,4,3,PConc,5,3,2,1,0,1,0,1234,1234,GasA,5,1,5,1234,0,1234,Attchd,2007,2,2,484,3,2,0,30,0,0,0,0,0,0,,Jan,2008,179900
1-STORY 1946+,RL,70,10552,,Lvl,Inside,0,1Fam,1Story,5,5,1959,1959,Hip,CompShg,None,0,3,3,CBlock,3,3,0,3,1018,1,0,380,1398,GasA,4,1,5,1700,0,1700,Attchd,1959,2,2,447,3,2,0,38,0,0,0,0,0,0,,Apr,2010,165500
1-STORY PUD 1946+,RL,60,7313,,Lvl,Inside,0,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,BrkFace,246,5,3,PConc,5,3,0,6,1153,1,0,408,1561,GasA,5,1,5,1561,0,1561,Attchd,2005,3,2,556,3,2,203,47,0,0,0,0,0,0,,Aug,2007,277500
2-STORY 1946+,RL,108,13418,,Lvl,Inside,0,1Fam,2Story,8,5,2004,2005,Gable,CompShg,Stone,132,4,3,PConc,5,3,2,1,0,1,0,1117,1117,GasA,5,1,5,1132,1320,2452,BuiltIn,2004,3,3,691,3,2,113,32,0,0,0,0,0,0,,Sept,2006,309000
1-STORY 1946+,RL,112,10859,,Lvl,Corner,0,1Fam,1Story,5,5,1994,1995,Gable,CompShg,None,0,3,3,PConc,4,3,0,1,0,1,0,1097,1097,GasA,5,1,5,1097,0,1097,Attchd,1995,1,2,672,3,2,392,64,0,0,0,0,0,0,,June,2009,145000
1-STORY 1946+,RL,74,8532,,Lvl,Inside,0,1Fam,1Story,5,6,1954,1990,Hip,CompShg,BrkFace,650,3,3,CBlock,3,3,0,3,1213,1,0,84,1297,GasA,4,1,5,1297,0,1297,Attchd,1954,3,2,498,3,2,0,0,0,0,0,0,0,0,,Oct,2009,153000
1-STORY 1946+,RL,68,7922,,Lvl,Inside,0,1Fam,1Story,5,7,1953,2007,Gable,CompShg,None,0,3,4,CBlock,3,3,0,6,731,1,0,326,1057,GasA,3,1,5,1057,0,1057,Detchd,1953,1,1,246,3,2,0,52,0,0,0,0,0,0,,Jan,2010,109000
DUPLEX,RL,65,6040,,Lvl,Inside,0,Duplex,1Story,4,5,1955,1955,Gable,CompShg,None,0,3,3,PConc,0,0,0,0,0,0,0,0,0,GasA,3,0,2,1152,0,1152,,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,,June,2008,82000
1-STORY 1946+,RL,84,8658,,Lvl,Inside,0,1Fam,1Story,6,5,1965,1965,Gable,CompShg,BrkFace,101,3,3,CBlock,3,3,0,3,643,1,0,445,1088,GasA,5,1,5,1324,0,1324,Attchd,1965,2,2,440,3,2,0,138,0,0,0,0,0,2,,Dec,2006,160000
1-STORY 1946+,RL,115,16905,,Lvl,Inside,0,1Fam,1Story,5,6,1959,1959,Gable,CompShg,None,0,3,4,CBlock,3,3,3,4,967,1,0,383,1350,GasA,4,1,5,1328,0,1328,Attchd,1959,2,1,308,3,1,0,104,0,0,0,0,0,0,,July,2007,170000
SPLIT FOYER,RL,,9180,,Lvl,CulDSac,0,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,None,0,3,3,CBlock,4,3,2,5,747,3,93,0,840,GasA,4,1,5,884,0,884,Attchd,1983,2,2,504,3,2,240,0,0,0,0,0,0,3,,Dec,2007,144000
1-STORY 1946+,RL,,9200,,Lvl,CulDSac,0,1Fam,1Story,5,6,1975,1980,Hip,CompShg,None,0,3,3,CBlock,4,3,2,2,280,4,491,167,938,GasA,3,1,5,938,0,938,Detchd,1977,1,1,308,3,2,145,0,0,0,0,0,0,3,,July,2008,130250
1-STORY 1946+,RL,70,7945,,Lvl,Inside,0,1Fam,1Story,5,6,1959,1959,Gable,CompShg,None,0,3,3,CBlock,3,3,0,5,179,4,506,465,1150,GasA,5,1,4,1150,0,1150,Attchd,1959,2,1,300,3,2,0,0,0,0,0,0,0,0,,May,2006,141000
1-STORY PUD 1946+,RL,61,7658,,Lvl,Inside,0,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,BrkFace,412,5,3,PConc,5,3,0,6,456,1,0,1296,1752,GasA,5,1,5,1752,0,1752,Attchd,2005,2,2,576,3,2,196,82,0,0,0,0,0,0,,Feb,2010,319900
1-1/2 STORY FIN,RL,48,12822,,Lvl,CulDSac,0,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,None,0,4,3,PConc,5,3,0,6,1351,1,0,83,1434,GasA,5,1,5,1518,631,2149,Attchd,2003,2,2,670,3,2,168,43,0,0,198,0,0,0,,Aug,2009,239686
1-STORY 1946+,FV,84,11096,,Lvl,Inside,0,1Fam,1Story,8,5,2006,2006,Gable,CompShg,None,0,4,3,PConc,4,3,2,6,24,1,0,1632,1656,GasA,5,1,5,1656,0,1656,Attchd,2006,2,3,826,3,2,0,146,0,0,0,0,0,0,,July,2007,249700
2 FAMILY CONVERSION,RM,33,4456,,Lvl,Inside,0,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,None,0,3,3,BrkTil,3,3,0,1,0,1,0,736,736,GasA,4,1,5,736,716,1452,,1920,0,0,0,0,0,0,0,102,0,0,0,0,0,,June,2009,113000
1-STORY 1946+,RL,66,7742,,Lvl,Inside,0,1Fam,1Story,5,7,1966,1966,Gable,CompShg,None,0,3,3,CBlock,3,3,0,4,763,1,0,192,955,GasA,5,1,5,955,0,955,Attchd,1966,1,1,386,3,2,0,0,0,0,0,0,0,3,,Jan,2007,127000
2-STORY 1946+,RL,,13869,,Lvl,Corner,0,1Fam,2Story,6,6,1997,1997,Gable,CompShg,None,0,3,3,PConc,4,3,2,6,182,1,0,612,794,GasA,4,1,5,794,676,1470,Attchd,1997,3,2,388,3,2,0,75,0,0,0,0,0,0,,July,2007,177000
1-1/2 STORY FIN,RM,52,6240,,Lvl,Inside,0,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,None,0,3,3,PConc,3,3,0,1,0,1,0,816,816,GasA,3,1,5,816,0,1176,Detchd,1985,1,2,528,3,2,112,0,0,0,0,0,0,3,Shed,Sept,2006,114500
DUPLEX,RM,110,8472,,Bnk,Corner,1,Duplex,1Story,5,5,1963,1963,Gable,CompShg,None,0,2,3,CBlock,4,3,3,2,104,6,712,0,816,GasA,3,0,5,816,0,816,CarPort,1963,1,2,516,3,2,106,0,0,0,0,0,0,0,,May,2010,110000
1-STORY 1946+,RL,68,50271,,Low,Inside,0,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,None,0,4,3,CBlock,5,3,3,6,1810,1,0,32,1842,GasA,4,1,5,1842,0,1842,Attchd,1981,3,3,894,3,2,857,72,0,0,0,0,0,0,,Nov,2006,385000
SPLIT OR MULTI-LEVEL,RL,60,7134,,Bnk,Inside,1,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,None,0,3,3,CBlock,3,3,0,5,384,1,0,0,384,GasA,3,1,5,1360,0,1360,Detchd,1962,1,2,572,3,2,0,50,0,0,0,0,0,3,,Feb,2007,130000
1-STORY 1946+,RL,100,10175,,Lvl,Inside,0,1Fam,1Story,6,5,1964,1964,Gable,CompShg,BrkFace,272,3,3,CBlock,3,3,0,4,490,1,0,935,1425,GasA,4,1,5,1425,0,1425,Attchd,1964,2,2,576,3,2,0,0,0,407,0,0,0,0,,July,2008,180500
2-STORY PUD 1946+,FV,24,2645,Pave,Lvl,Inside,0,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,BrkFace,456,4,3,PConc,4,3,0,6,649,1,0,321,970,GasA,5,1,5,983,756,1739,Attchd,1999,3,2,480,3,2,115,0,0,0,0,0,0,0,,Aug,2009,172500
2-STORY 1946+,RL,89,11645,,Lvl,Corner,0,1Fam,2Story,7,5,2004,2004,Gable,CompShg,None,0,4,3,PConc,4,3,0,1,0,1,0,860,860,GasA,5,1,5,860,860,1720,Attchd,2004,2,2,565,3,2,0,70,0,0,0,0,0,0,,Aug,2006,196500
2-STORY 1946+,RL,66,13682,,HLS,CulDSac,0,1Fam,2Story,10,5,2006,2006,Hip,CompShg,BrkFace,1031,5,3,PConc,5,3,3,1,0,1,0,1410,1410,GasA,5,1,5,1426,1519,2945,BuiltIn,2006,3,3,641,3,2,192,0,37,0,0,0,0,0,,Oct,2006,438780
1-STORY 1946+,RL,60,7200,,Bnk,Inside,0,1Fam,1Story,5,7,1972,1972,Gable,CompShg,None,0,3,3,CBlock,3,3,2,5,632,1,0,148,780,GasA,5,1,5,780,0,780,Detchd,1973,1,1,352,3,2,196,0,0,0,0,0,0,3,,Jan,2008,124900
1-STORY 1946+,RL,63,13072,,Lvl,Inside,0,1Fam,1Story,6,5,2004,2004,Gable,CompShg,None,0,3,3,PConc,4,3,0,5,941,1,0,217,1158,GasA,5,1,5,1158,0,1158,Detchd,2006,1,2,576,3,2,0,50,0,0,0,0,0,0,,May,2006,158000
2-1/2 STORY,RM,60,7200,,Lvl,Inside,0,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,None,0,3,3,BrkTil,3,2,0,1,0,1,0,530,530,GasA,3,0,5,581,530,1111,Detchd,1935,1,1,288,3,0,0,0,144,0,0,0,0,0,,Mar,2007,101000
1-STORY PUD 1946+,RL,44,6442,,Lvl,Inside,0,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,Stone,178,4,3,PConc,4,4,1,6,24,1,0,1346,1370,GasA,5,1,5,1370,0,1370,Attchd,2006,2,2,484,3,2,120,49,0,0,0,0,0,0,,Oct,2007,202500
2-STORY 1945-,RM,50,10300,,Bnk,Inside,0,1Fam,2Story,7,6,1921,1950,Gable,CompShg,None,0,3,3,BrkTil,3,3,0,1,0,1,0,576,576,GasA,4,1,5,902,808,1710,Detchd,1990,1,2,480,3,2,12,11,64,0,0,0,0,4,,Apr,2010,140000
2-STORY 1946+,RL,,9375,,Lvl,Inside,0,1Fam,2Story,7,5,1997,1998,Gable,CompShg,BrkFace,573,3,3,PConc,4,3,0,6,739,1,0,318,1057,GasA,5,1,5,1057,977,2034,Attchd,1998,2,2,645,3,2,576,36,0,0,0,0,0,4,,Feb,2009,219500
2-STORY 1946+,RL,76,9591,,Lvl,Inside,0,1Fam,2Story,8,5,2004,2005,Gable,CompShg,BrkFace,344,4,3,PConc,5,3,2,1,0,1,0,1143,1143,GasA,5,1,5,1143,1330,2473,BuiltIn,2004,2,3,852,3,2,192,151,0,0,0,0,0,0,,Oct,2007,317000
1-STORY 1946+,RL,,19900,,Lvl,Inside,0,1Fam,1Story,7,5,1970,1989,Gable,CompShg,BrkFace,287,3,3,CBlock,4,3,3,6,912,1,0,1035,1947,GasA,3,1,5,2207,0,2207,Attchd,1970,2,2,576,3,2,301,0,0,0,0,0,0,0,,July,2010,180000
1-STORY 1946+,RL,72,10665,,Lvl,Inside,0,1Fam,1Story,7,5,2003,2003,Gable,CompShg,BrkFace,167,4,3,PConc,4,3,2,6,1013,1,0,440,1453,GasA,5,1,5,1479,0,1479,Attchd,2003,2,2,558,3,2,144,29,0,0,0,0,0,0,,June,2007,226000
1-STORY 1945-,RM,47,4608,,Lvl,Corner,0,1Fam,1Story,4,6,1945,1950,Gable,CompShg,None,0,3,4,CBlock,3,3,0,1,0,1,0,747,747,GasA,3,1,5,747,0,747,Attchd,1945,1,1,220,3,2,0,0,0,0,0,0,0,0,,June,2010,80000
1-1/2 STORY FIN,RL,81,15593,,Lvl,Corner,0,1Fam,1.5Fin,7,4,1953,1953,Gable,CompShg,None,0,4,3,CBlock,3,3,0,4,603,1,0,701,1304,GasW,3,1,5,1304,983,2287,Attchd,1953,3,2,667,3,2,0,21,114,0,0,0,0,0,,July,2006,225000
1-STORY 1946+,RL,95,13651,,Lvl,Inside,0,1Fam,1Story,7,6,1973,1973,Gable,CompShg,BrkFace,1115,3,4,CBlock,4,3,3,5,1880,1,0,343,2223,GasA,5,1,5,2223,0,2223,Attchd,1973,3,2,516,3,2,300,0,0,0,0,0,0,0,,Feb,2007,244000
1-STORY 1946+,RL,69,7599,,Lvl,Corner,0,1Fam,1Story,4,6,1982,2006,Gable,CompShg,None,0,3,3,CBlock,3,3,0,5,565,1,0,280,845,GasA,3,1,5,845,0,845,Detchd,1987,1,2,360,3,2,0,0,0,0,0,0,0,0,,June,2007,129500
2-STORY 1946+,RL,74,10141,,Lvl,Corner,0,1Fam,2Story,7,5,1998,1998,Gable,CompShg,BrkFace,40,3,3,PConc,4,3,0,1,0,1,0,832,832,GasA,4,1,5,885,833,1718,Attchd,1998,3,2,427,3,2,0,94,0,0,291,0,0,0,,Dec,2009,185000
1-STORY 1946+,RL,85,10200,,Lvl,Inside,0,1Fam,1Story,5,7,1954,2003,Gable,CompShg,BrkFace,104,3,3,CBlock,3,3,0,5,320,4,362,404,1086,GasA,4,1,5,1086,0,1086,Attchd,1989,1,2,490,3,2,0,0,0,0,0,0,0,2,,May,2010,144900
1-1/2 STORY FIN,RM,60,5790,,Lvl,Corner,0,1Fam,2Story,3,6,1915,1950,Gambrel,CompShg,None,0,4,4,CBlock,2,3,0,1,0,1,0,840,840,GasA,4,0,5,840,765,1605,Detchd,1915,1,1,379,3,2,0,0,202,0,0,0,0,0,,May,2010,107400
MULTILEVEL PUD,RM,21,1596,,Lvl,Inside,0,Twnhs,SLvl,4,5,1973,1973,Gable,CompShg,None,0,3,3,CBlock,4,3,3,6,462,1,0,0,462,GasA,3,1,5,526,462,988,BuiltIn,1973,1,1,297,3,2,120,101,0,0,0,0,0,2,,Nov,2009,91000
1-STORY 1946+,RL,,8475,,Lvl,Inside,0,1Fam,1Story,4,7,1956,1956,Gable,CompShg,None,0,3,3,CBlock,3,3,0,5,228,1,0,724,952,GasA,5,1,4,952,0,952,Detchd,1956,1,1,283,3,2,0,0,0,0,0,0,0,0,,Apr,2008,135750
1-1/2 STORY FIN,RM,50,8635,,Lvl,Inside,0,1Fam,1.5Fin,5,5,1948,2001,Gable,CompShg,None,0,3,3,CBlock,3,3,0,4,336,6,41,295,672,GasA,3,1,5,1072,213,1285,Detchd,1948,1,1,240,3,2,0,0,0,0,0,0,0,3,,Jan,2008,127000
DUPLEX,RL,72,10778,,Lvl,Inside,0,Duplex,1Story,4,5,1968,1968,Hip,CompShg,None,0,3,3,CBlock,3,3,0,1,0,1,0,1768,1768,GasA,3,0,5,1768,0,1768,,1968,0,0,0,0,2,0,0,0,0,0,0,0,0,,Apr,2010,136500
1-1/2 STORY FIN,RM,60,10440,Grvl,Lvl,Corner,0,1Fam,2Story,5,6,1910,1981,Gable,CompShg,None,0,3,3,PConc,3,3,0,1,0,1,0,440,440,GasA,4,1,5,682,548,1230,Detchd,1966,1,2,440,3,2,74,0,128,0,0,0,0,3,,May,2009,110000
2-STORY 1946+,RL,100,13000,,Lvl,Corner,0,1Fam,2Story,6,6,1968,1968,Gable,CompShg,BrkFace,576,3,4,CBlock,4,3,0,3,448,1,0,448,896,GasA,3,1,5,1182,960,2142,Attchd,1968,3,1,509,3,2,0,72,0,0,252,0,0,0,,June,2009,193500
1-STORY PUD 1946+,RM,32,4500,,Lvl,FR2,0,TwnhsE,1Story,6,5,1998,1998,Hip,CompShg,BrkFace,443,3,4,PConc,5,4,0,6,1201,1,0,36,1237,GasA,5,1,5,1337,0,1337,Attchd,1998,3,2,405,3,2,0,199,0,0,0,0,0,0,,Mar,2006,153500
1-STORY 1946+,RL,78,10206,,Lvl,Inside,0,1Fam,1Story,8,5,2007,2007,Gable,CompShg,Stone,468,3,3,PConc,4,3,0,6,33,1,0,1530,1563,GasA,5,1,5,1563,0,1563,Attchd,2007,2,3,758,3,2,144,99,0,0,0,0,0,0,,Oct,2008,245000
1-STORY 1946+,RL,80,8892,,Lvl,Inside,0,1Fam,1Story,5,5,1960,1960,Gable,CompShg,BrkCmn,66,3,3,CBlock,3,3,0,1,0,1,0,1065,1065,GasA,4,1,5,1065,0,1065,Detchd,1974,1,2,461,3,2,74,0,0,0,0,0,0,0,,July,2007,126500
SPLIT OR MULTI-LEVEL,RL,,8530,,Lvl,Inside,0,1Fam,SLvl,7,5,1995,1996,Gable,CompShg,BrkFace,22,3,3,PConc,4,3,0,1,0,1,0,384,384,GasA,4,1,5,804,670,1474,BuiltIn,1995,3,2,400,3,2,120,72,0,0,0,0,0,0,Shed,May,2009,168500
